date,open,high,low,close,volume
2021-12-23,1.3449,1.49,1.3642,1.4697,20208272.0
2021-12-24,1.4467,1.65,1.4706,1.576,30549791.0
2021-12-25,1.5313,1.6003,1.5762,1.5748,12685490.0
2021-12-26,1.546,1.6434,1.5751,1.6079,19104408.0
2021-12-27,1.5807,1.7264,1.6081,1.6631,20132672.0
2021-12-28,1.45,1.6627,1.6627,1.4667,26375848.0
2021-12-29,1.4074,1.6437,1.4667,1.5828,37527493.0
2021-12-30,1.5204,1.769,1.5823,1.7299,45544245.0
2021-12-31,1.628,1.7851,1.7299,1.6589,33092491.0
2022-01-01,1.6313,1.7699,1.6593,1.7433,17333103.0
2022-01-02,1.6602,1.7842,1.7427,1.6739,17172225.0
2022-01-03,1.6261,1.8365,1.6731,1.7949,39101837.0
2022-01-04,1.6583,1.845,1.7945,1.6714,36637345.0
2022-01-05,1.45,1.8022,1.6726,1.5562,44788695.0
2022-01-06,1.4816,1.6058,1.5561,1.5631,32888450.0
2022-01-07,1.393,1.5689,1.5624,1.445,43660899.0
2022-01-08,1.3159,1.47,1.4457,1.3854,27497385.0
2022-01-09,1.3687,1.4417,1.3854,1.4009,15229057.0
2022-01-10,1.3003,1.45,1.4008,1.3624,26342260.0
2022-01-11,1.3492,1.4527,1.3638,1.4467,18683163.0
2022-01-12,1.4377,1.5055,1.4473,1.4989,19621022.9
2022-01-13,1.3413,1.5019,1.4989,1.3616,42365150.7
2022-01-14,1.3238,1.4116,1.3611,1.3822,19501623.1
2022-01-15,1.3576,1.4165,1.3826,1.3785,10329947.4
2022-01-16,1.3663,1.4508,1.379,1.4299,16395577.6
2022-01-17,1.337,1.4443,1.4304,1.3415,21612748.4
2022-01-18,1.2779,1.3619,1.3417,1.3179,22713112.9
2022-01-19,1.2257,1.3229,1.3176,1.2659,20213726.7
2022-01-20,1.1551,1.3276,1.2654,1.1614,22665849.1
2022-01-21,1.0,1.1974,1.1617,1.0303,65641121.6
2022-01-22,0.7978,1.0628,1.0301,0.9512,106642967.9
2022-01-23,0.925,1.0063,0.9513,0.9895,45462947.3
2022-01-24,0.8171,0.9899,0.9895,0.9125,58073348.9
2022-01-25,0.8672,0.95,0.9124,0.9223,40836944.1
2022-01-26,0.8932,0.9954,0.9223,0.9233,45888015.1
2022-01-27,0.8774,0.957,0.9235,0.9364,35256670.9
2022-01-28,0.9207,0.986,0.9365,0.9591,39386259.3
2022-01-29,0.9552,1.0075,0.9588,0.9693,24197093.1
2022-01-30,0.9289,0.9899,0.9692,0.9447,23426929.4
2022-01-31,0.9033,0.97,0.945,0.9504,30888952.6
2022-02-01,0.9468,0.9922,0.9503,0.967,25132871.2
2022-02-02,0.9217,1.0309,0.9668,0.9235,40254128.5
2022-02-03,0.9013,0.9413,0.9238,0.936,24430909.6
2022-02-04,0.9266,1.0008,0.9356,0.9987,22888626.9
2022-02-05,0.9789,1.046,0.9987,1.0021,21311916.8
2022-02-06,0.9716,1.031,1.0035,1.0259,18513843.7
2022-02-07,0.9997,1.0996,1.0257,1.0706,36812770.8
2022-02-08,0.9878,1.1036,1.0714,1.0239,31428882.8
2022-02-09,0.9973,1.0478,1.0248,1.0371,18784837.9
2022-02-10,0.9747,1.0501,1.037,0.9822,27656027.9
2022-02-11,0.8972,0.9972,0.9823,0.9169,27232602.0
2022-02-12,0.8895,0.9414,0.9168,0.9188,21081742.4
2022-02-13,0.8832,0.9346,0.9194,0.8968,16082699.3
2022-02-14,0.8719,0.9109,0.8968,0.9001,20523499.0
2022-02-15,0.8989,0.9759,0.9002,0.9706,19036978.7
2022-02-16,0.9531,1.0081,0.9707,0.9791,30442017.7
2022-02-17,0.8879,0.9893,0.9786,0.8983,29896096.9
2022-02-18,0.8732,0.9272,0.8984,0.895,20224846.0
2022-02-19,0.871,0.9198,0.8947,0.9001,11920480.3
2022-02-20,0.8322,0.9011,0.9001,0.8455,18785755.7
2022-02-21,0.7795,0.879,0.8455,0.7852,29235070.9
2022-02-22,0.7582,0.8206,0.7848,0.8111,24722711.5
2022-02-23,0.7821,0.8517,0.8111,0.7853,20168545.3
2022-02-24,0.6887,0.7963,0.7856,0.7779,51513870.1
2022-02-25,0.7683,0.8419,0.7778,0.8312,22681591.0
2022-02-26,0.8188,0.883,0.8312,0.8598,21263907.3
