date,open,high,low,close,volume
2021-12-23,434.74,458.47,438.75,455.93,18118.01496723
2021-12-24,449.15,461.48,456.0,452.27,19570.09953365
2021-12-25,447.82,460.69,452.27,455.36,9911.93320507
2021-12-26,444.8,455.47,455.47,451.86,10549.97749534
2021-12-27,447.86,476.18,451.77,465.45,25063.80939722
2021-12-28,437.91,465.47,465.45,438.78,20863.87609964
2021-12-29,426.91,445.67,439.04,430.11,25867.08447568
2021-12-30,423.88,437.25,429.9,431.58,16756.7690599
2021-12-31,419.33,437.23,431.56,430.15,27795.52195144
2022-01-01,430.33,445.92,430.35,445.07,19486.08817465
2022-01-02,442.68,452.37,445.03,447.83,12498.08260005
2022-01-03,431.08,448.0,447.85,434.61,11092.36969617
2022-01-04,425.34,439.45,434.72,427.38,15085.4085812
2022-01-05,390.9,432.45,427.29,399.79,24531.81246033
2022-01-06,387.27,402.85,399.72,399.76,25303.53924127
2022-01-07,375.32,401.4,400.1,385.89,31320.07923374
2022-01-08,361.58,391.59,385.96,372.84,22160.27764143
2022-01-09,367.92,381.16,372.98,376.94,15945.8843024
2022-01-10,348.0,378.57,376.87,363.56,25866.12621872
2022-01-11,361.75,374.94,363.43,369.84,17391.6313924
2022-01-12,367.95,385.81,369.94,383.83,16559.53533969
2022-01-13,376.42,391.72,383.98,377.67,14375.08318769
2022-01-14,375.85,393.75,377.86,385.73,17555.03794432
2022-01-15,383.29,393.09,385.74,390.86,10773.86727814
2022-01-16,382.58,393.63,390.76,388.48,9408.21312206
2022-01-17,373.27,389.35,388.5,380.75,12956.10717298
2022-01-18,374.7,398.92,380.77,381.47,33391.59023657
2022-01-19,365.99,384.53,381.5,369.1,16592.79111894
2022-01-20,356.45,384.28,369.07,357.74,16935.55122867
2022-01-21,308.46,360.08,357.6,315.04,39759.79114304
2022-01-22,265.43,318.98,314.85,291.88,66391.60127886
2022-01-23,283.99,303.64,292.08,302.74,49587.50402906
2022-01-24,259.6,302.77,302.51,292.51,65303.99471894
2022-01-25,283.45,295.14,292.48,291.7,30930.27800336
2022-01-26,284.1,315.18,291.67,289.42,41824.86325418
2022-01-27,277.69,295.2,289.03,289.64,31575.44471592
2022-01-28,281.94,297.49,289.71,296.79,23275.25201287
2022-01-29,291.49,302.25,296.94,299.03,14406.81774958
2022-01-30,287.83,302.45,299.12,290.02,13931.23532845
2022-01-31,278.25,290.6,290.03,285.23,32050.73101592
2022-02-01,282.69,291.12,285.23,287.95,20612.14589036
2022-02-02,276.41,296.94,288.25,278.0,20414.05420291
2022-02-03,271.2,281.76,278.1,281.46,31381.46991961
2022-02-04,276.63,307.1,281.39,306.37,33536.71257099
2022-02-05,302.71,329.24,306.4,320.93,32288.11293038
2022-02-06,312.61,328.83,320.93,324.8,19416.72543676
2022-02-07,318.29,344.19,324.8,343.44,39984.52160116
2022-02-08,325.13,355.96,343.48,335.57,36096.42149844
2022-02-09,328.55,348.0,335.84,346.21,25994.25652331
2022-02-10,336.64,362.96,346.21,341.1,29430.75121564
2022-02-11,316.72,342.05,341.09,320.83,24886.47341003
2022-02-12,312.37,330.84,320.83,330.64,21271.60334019
2022-02-13,324.69,340.1,330.65,333.81,24108.80652941
2022-02-14,318.44,337.95,333.9,330.51,21887.82163227
2022-02-15,329.05,345.05,330.77,343.69,21137.48026906
2022-02-16,329.07,343.61,343.61,334.55,20719.65369038
2022-02-17,308.86,336.53,334.59,313.15,19434.14778494
2022-02-18,306.32,319.24,313.39,310.33,16107.3311614
2022-02-19,305.16,316.38,310.14,312.05,12607.69915659
2022-02-20,296.71,312.74,312.16,302.87,17400.5799283
2022-02-21,282.38,310.95,302.9,283.16,28163.33139612
2022-02-22,275.64,295.8,283.33,293.48,24985.16310573
2022-02-23,287.15,305.21,293.49,288.61,21470.31093753
2022-02-24,259.84,309.81,288.51,300.96,47317.71141827
2022-02-25,290.35,312.35,301.42,309.04,26382.56042338
2022-02-26,307.16,324.33,309.09,315.56,20749.643454
2022-02-27,299.34,321.54,315.61,304.12,17097.22765418
2022-02-28,300.7,339.27,304.02,339.27,26548.71554407
2022-03-01,320.49,343.99,339.1,328.79,27043.26538466
2022-03-02,318.05,331.51,328.78,320.3,15235.14243881
2022-03-03,305.65,322.01,320.15,315.29,21121.25757838
2022-03-04,285.78,315.62,315.14,290.61,19404.37835021
2022-03-05,283.53,295.58,290.6,294.47,11060.35320747
2022-03-06,281.28,296.26,294.31,282.11,11571.28362444
2022-03-07,270.01,291.09,282.11,273.86,28936.15418628
2022-03-08,272.34,289.71,273.84,284.46,25750.46707003
2022-03-09,283.67,318.45,284.59,307.25,35493.17521566
2022-03-10,283.55,309.01,307.34,289.53,29534.1463003
2022-03-11,281.23,295.08,289.53,287.73,27960.51795901
2022-03-12,287.3,294.26,287.57,290.9,16719.11788578
2022-03-13,278.04,296.02,290.69,279.78,18610.40816928
2022-03-14,277.06,290.0,279.65,289.43,22096.72783329
2022-03-15,281.72,292.87,289.49,289.46,22178.32847379
2022-03-16,286.41,302.38,289.62,299.91,32673.31948309
2022-03-17,294.51,301.22,299.95,296.28,14615.66078066
2022-03-18,290.64,306.74,296.41,305.71,21889.77283386
2022-03-19,305.66,328.81,305.66,328.01,29154.84556975
2022-03-20,315.66,332.81,328.03,327.74,26411.75524216
2022-03-21,320.35,340.61,327.99,334.93,33589.6261342
2022-03-22,334.38,387.0,334.89,375.54,73412.9256873
2022-03-23,353.28,384.53,375.37,364.06,51246.34037775
2022-03-24,351.87,367.86,364.04,366.47,41605.68514191
2022-03-25,353.12,374.67,366.52,365.21,50440.64163037
2022-03-26,356.83,366.55,365.35,362.07,18236.09033246
2022-03-27,354.96,377.39,362.18,376.78,21259.28394534
2022-03-28,363.05,385.95,376.76,368.1,34167.30563708
2022-03-29,366.44,387.74,368.4,372.34,29855.14438103
2022-03-30,363.08,386.75,372.26,380.13,35129.86641423
2022-03-31,362.54,391.38,380.03,384.15,37468.1243652
