date,open,high,low,close,volume,market_cap
2021-12-23,533.60000000,552.60000000,524.30000000,549.00000000,844421.95400000,844421.95400000
2021-12-24,549.00000000,554.40000000,537.40000000,542.10000000,665688.41500000,665688.41500000
2021-12-25,542.10000000,550.50000000,539.10000000,547.40000000,455399.79300000,455399.79300000
2021-12-26,547.40000000,549.30000000,535.60000000,546.40000000,536338.77500000,536338.77500000
2021-12-27,546.50000000,572.00000000,543.10000000,563.70000000,803238.13100000,803238.13100000
2021-12-28,563.70000000,563.70000000,528.40000000,534.20000000,1002556.27100000,1002556.27100000
2021-12-29,534.20000000,540.50000000,510.30000000,514.50000000,740117.86700000,740117.86700000
2021-12-30,514.50000000,527.80000000,508.30000000,518.50000000,639166.71700000,639166.71700000
2021-12-31,518.60000000,528.30000000,506.00000000,511.40000000,677844.74900000,677844.74900000
2022-01-01,511.50000000,527.90000000,511.40000000,527.30000000,446171.54100000,446171.54100000
2022-01-02,527.40000000,533.90000000,518.00000000,531.00000000,404475.54100000,404475.54100000
2022-01-03,531.00000000,532.80000000,510.00000000,511.90000000,663841.02100000,663841.02100000
2022-01-04,511.90000000,520.00000000,502.00000000,506.90000000,687436.63800000,687436.63800000
2022-01-05,506.90000000,516.00000000,457.00000000,474.10000000,985152.00400000,985152.00400000
2022-01-06,474.20000000,481.30000000,458.80000000,472.60000000,986669.90000000,986669.90000000
2022-01-07,472.60000000,473.90000000,437.50000000,448.10000000,1331260.03000000,1331260.03000000
2022-01-08,448.10000000,459.70000000,415.00000000,429.90000000,1062788.58900000,1062788.58900000
2022-01-09,429.80000000,444.50000000,427.00000000,438.70000000,688777.34700000,688777.34700000
2022-01-10,438.80000000,445.50000000,405.60000000,424.70000000,1221504.73800000,1221504.73800000
2022-01-11,424.80000000,467.70000000,421.30000000,463.60000000,1266092.81900000,1266092.81900000
2022-01-12,463.60000000,489.90000000,456.60000000,487.80000000,836124.92800000,836124.92800000
2022-01-13,487.80000000,489.80000000,466.50000000,475.20000000,908052.93700000,908052.93700000
2022-01-14,475.10000000,492.30000000,467.60000000,490.00000000,797022.18100000,797022.18100000
2022-01-15,489.90000000,500.90000000,485.00000000,494.50000000,548626.20300000,548626.20300000
2022-01-16,494.50000000,506.00000000,488.60000000,498.60000000,507042.33200000,507042.33200000
2022-01-17,498.60000000,499.10000000,466.90000000,475.20000000,757806.03500000,757806.03500000
2022-01-18,475.10000000,479.60000000,457.20000000,471.40000000,707501.57700000,707501.57700000
2022-01-19,471.50000000,473.10000000,453.70000000,461.90000000,585750.30000000,585750.30000000
2022-01-20,461.90000000,478.70000000,438.20000000,440.20000000,1137854.89400000,1137854.89400000
2022-01-21,440.20000000,444.60000000,373.70000000,383.90000000,1891179.59400000,1891179.59400000
2022-01-22,383.80000000,389.60000000,336.30000000,358.30000000,2635609.38600000,2635609.38600000
2022-01-23,358.30000000,389.00000000,356.30000000,383.90000000,1297043.92300000,1297043.92300000
2022-01-24,384.00000000,384.00000000,336.00000000,371.30000000,1900214.42000000,1900214.42000000
2022-01-25,371.20000000,389.50000000,357.40000000,385.10000000,1006111.15500000,1006111.15500000
2022-01-26,385.10000000,402.40000000,366.40000000,375.10000000,1073520.17200000,1073520.17200000
2022-01-27,375.10000000,393.80000000,360.00000000,389.90000000,962060.88800000,962060.88800000
2022-01-28,389.90000000,395.90000000,375.80000000,385.90000000,752320.61500000,752320.61500000
2022-01-29,385.90000000,397.30000000,380.70000000,389.30000000,534573.78200000,534573.78200000
2022-01-30,389.40000000,389.60000000,372.20000000,377.20000000,536436.12300000,536436.12300000
2022-01-31,377.20000000,385.40000000,365.20000000,374.30000000,620113.73400000,620113.73400000
2022-02-01,374.40000000,388.40000000,373.70000000,384.20000000,555347.27700000,555347.27700000
2022-02-02,384.10000000,386.10000000,366.10000000,366.90000000,572340.04000000,572340.04000000
2022-02-03,367.10000000,372.40000000,359.60000000,372.30000000,495715.22700000,495715.22700000
2022-02-04,372.20000000,399.70000000,369.50000000,399.50000000,849825.82800000,849825.82800000
2022-02-05,399.60000000,431.00000000,396.30000000,413.70000000,1031046.87000000,1031046.87000000
2022-02-06,413.80000000,422.50000000,407.00000000,419.90000000,542631.17600000,542631.17600000
2022-02-07,419.90000000,439.00000000,413.30000000,433.50000000,758247.66700000,758247.66700000
2022-02-08,433.50000000,445.40000000,406.20000000,407.80000000,1148555.32100000,1148555.32100000
2022-02-09,407.90000000,427.70000000,407.10000000,422.90000000,633880.43100000,633880.43100000
2022-02-10,422.90000000,434.90000000,410.00000000,414.70000000,956240.33900000,956240.33900000
2022-02-11,414.70000000,418.90000000,390.50000000,400.00000000,700843.20000000,700843.20000000
2022-02-12,400.00000000,407.10000000,393.30000000,403.60000000,521080.23700000,521080.23700000
2022-02-13,403.60000000,407.80000000,394.70000000,397.90000000,388657.05200000,388657.05200000
2022-02-14,398.00000000,404.50000000,390.60000000,403.40000000,472210.31800000,472210.31800000
2022-02-15,403.40000000,443.00000000,402.70000000,432.40000000,1184143.99000000,1184143.99000000
2022-02-16,432.40000000,433.50000000,422.20000000,427.30000000,606252.49300000,606252.49300000
2022-02-17,427.30000000,431.10000000,400.00000000,402.40000000,661874.71700000,661874.71700000
2022-02-18,402.40000000,411.00000000,392.20000000,399.20000000,611936.67900000,611936.67900000
2022-02-19,399.20000000,406.40000000,393.00000000,399.80000000,410279.30400000,410279.30400000
2022-02-20,399.80000000,400.00000000,375.00000000,380.60000000,624148.52500000,624148.52500000
2022-02-21,380.70000000,393.70000000,355.00000000,356.60000000,1219652.48100000,1219652.48100000
2022-02-22,356.70000000,375.40000000,348.70000000,374.30000000,940456.82200000,940456.82200000
2022-02-23,374.30000000,384.20000000,365.30000000,365.60000000,698692.66100000,698692.66100000
2022-02-24,365.60000000,371.30000000,323.50000000,361.20000000,1949035.93500000,1949035.93500000
2022-02-25,361.20000000,377.20000000,356.80000000,375.00000000,783242.16000000,783242.16000000
2022-02-26,375.00000000,386.10000000,370.50000000,373.70000000,548687.94100000,548687.94100000
2022-02-27,373.70000000,381.20000000,358.10000000,360.10000000,677364.94900000,677364.94900000
2022-02-28,360.10000000,397.20000000,355.80000000,395.60000000,773064.48000000,773064.48000000
2022-03-01,395.70000000,424.90000000,390.40000000,408.70000000,1403695.83200000,1403695.83200000
2022-03-02,408.70000000,415.70000000,403.80000000,409.30000000,788499.44300000,788499.44300000
2022-03-03,409.30000000,413.20000000,397.40000000,402.60000000,577002.32500000,577002.32500000
2022-03-04,402.60000000,403.50000000,372.00000000,374.20000000,756176.61000000,756176.61000000
2022-03-05,374.10000000,387.30000000,367.20000000,384.70000000,453970.24200000,453970.24200000
2022-03-06,384.80000000,387.30000000,371.60000000,375.00000000,489079.15800000,489079.15800000
2022-03-07,375.00000000,385.90000000,362.80000000,380.60000000,949294.91000000,949294.91000000
2022-03-08,380.60000000,388.70000000,375.30000000,381.40000000,647492.04700000,647492.04700000
2022-03-09,381.40000000,402.70000000,381.00000000,393.20000000,1012461.46100000,1012461.46100000
2022-03-10,393.20000000,394.50000000,363.00000000,372.00000000,791332.98400000,791332.98400000
2022-03-11,372.10000000,380.00000000,364.70000000,371.90000000,510174.58600000,510174.58600000
2022-03-12,371.90000000,379.20000000,371.10000000,372.40000000,402475.64600000,402475.64600000
2022-03-13,372.40000000,377.20000000,360.10000000,361.40000000,424762.64200000,424762.64200000
2022-03-14,361.40000000,373.90000000,359.50000000,373.40000000,467814.98400000,467814.98400000
2022-03-15,373.40000000,374.70000000,361.70000000,371.70000000,440890.82300000,440890.82300000
2022-03-16,371.70000000,386.60000000,367.80000000,385.40000000,668878.61500000,668878.61500000
2022-03-17,385.30000000,393.50000000,381.70000000,391.80000000,569457.40800000,569457.40800000
2022-03-18,391.90000000,400.00000000,384.00000000,397.20000000,553763.58600000,553763.58600000
2022-03-19,397.20000000,406.40000000,394.90000000,399.90000000,459996.61300000,459996.61300000
2022-03-20,399.90000000,400.80000000,386.20000000,390.80000000,398984.42900000,398984.42900000
2022-03-21,390.80000000,399.50000000,384.80000000,396.00000000,541479.78000000,541479.78000000
2022-03-22,396.00000000,410.00000000,394.80000000,404.30000000,609034.60700000,609034.60700000
2022-03-23,404.30000000,411.70000000,397.90000000,408.40000000,535891.79000000,535891.79000000
2022-03-24,408.40000000,416.60000000,405.00000000,414.20000000,598366.11500000,598366.11500000
2022-03-25,414.20000000,421.50000000,405.50000000,410.30000000,609691.87600000,609691.87600000
2022-03-26,410.30000000,416.40000000,407.50000000,415.80000000,280157.68700000,280157.68700000
2022-03-27,415.90000000,431.60000000,411.70000000,430.50000000,490998.10000000,490998.10000000
2022-03-28,430.60000000,441.00000000,427.60000000,430.20000000,719102.18300000,719102.18300000
2022-03-29,430.20000000,441.60000000,429.40000000,434.20000000,629773.89400000,629773.89400000
2022-03-30,434.20000000,449.30000000,425.50000000,442.10000000,768982.42700000,768982.42700000
2022-03-31,442.10000000,452.30000000,423.90000000,428.90000000,957924.69500000,957924.69500000
2022-04-01,428.90000000,448.20000000,412.80000000,447.70000000,971822.65500000,971822.65500000
2022-04-02,447.80000000,454.20000000,435.70000000,437.20000000,827864.88500000,827864.88500000
2022-04-03,437.30000000,455.70000000,432.20000000,450.40000000,676230.89200000,676230.89200000
2022-04-04,450.40000000,450.50000000,433.40000000,447.60000000,736637.27100000,736637.27100000
2022-04-05,447.60000000,460.00000000,444.10000000,444.70000000,761168.72500000,761168.72500000
2022-04-06,444.70000000,448.60000000,418.30000000,420.10000000,928930.80600000,928930.80600000
2022-04-07,420.10000000,450.00000000,416.20000000,436.00000000,717661.03600000,717661.03600000
2022-04-08,436.10000000,442.00000000,418.40000000,421.50000000,684600.07400000,684600.07400000
2022-04-09,421.50000000,428.20000000,419.60000000,426.60000000,356426.65900000,356426.65900000
2022-04-10,426.60000000,429.50000000,417.00000000,418.10000000,386650.88300000,386650.88300000
2022-04-11,418.10000000,419.70000000,391.20000000,394.60000000,856354.22400000,856354.22400000
