date,open,high,low,close,volume
2021-12-23,48032.16,51397.82,48608.61,50842.2,16627.04627954
2021-12-24,50445.55,51878.6,50842.06,50851.38,11690.45418179
2021-12-25,50191.84,51171.68,50852.31,50428.31,5550.57153185
2021-12-26,49460.0,51295.33,50428.31,50801.79,6863.39473781
2021-12-27,50480.0,52100.0,50804.33,50717.77,11596.91468191
2021-12-28,47300.23,50720.35,50720.35,47543.09,23116.75583707
2021-12-29,46094.02,48149.58,47542.2,46471.24,20326.32142372
2021-12-30,45938.44,47926.15,46471.24,47122.08,27413.65364976
2021-12-31,45650.0,48574.7,47122.09,46211.24,19010.24134509
2022-01-01,46205.0,47967.12,46211.24,47733.43,9463.6617111
2022-01-02,46633.36,47990.0,47733.43,47299.07,6833.49845548
2022-01-03,45700.0,47583.33,47299.06,46459.56,10841.81020453
2022-01-04,45515.0,47532.89,46459.57,45814.61,16320.32712866
2022-01-05,42500.0,47076.55,45817.13,43436.04,25067.67476765
2022-01-06,42432.99,43794.5,43446.34,43083.76,20780.04784989
2022-01-07,40571.53,43144.72,43081.79,41565.18,26122.19990673
2022-01-08,40505.3,42318.97,41564.57,41684.84,15454.11315131
2022-01-09,41209.53,42831.12,41684.84,41876.52,11074.22498167
2022-01-10,39650.0,42250.0,41876.52,41824.07,25232.35739583
2022-01-11,41274.8,43130.0,41824.06,42753.44,19697.46613255
2022-01-12,42459.21,44342.83,42749.84,43920.37,16250.21469714
2022-01-13,42325.0,44453.22,43921.21,42581.65,14772.09478571
2022-01-14,41752.0,43473.98,42576.27,43090.72,13545.75086459
2022-01-15,42577.35,43819.39,43090.72,43098.2,6318.38550193
2022-01-16,42600.0,43497.24,43098.2,43104.34,6481.6580227
2022-01-17,41567.64,43200.0,43104.34,42218.01,10963.85191034
2022-01-18,41287.79,42692.71,42214.66,42369.74,13658.50365699
2022-01-19,41126.0,42586.03,42372.15,41674.27,15642.41727542
2022-01-20,40555.0,43511.99,41672.14,40670.97,17860.82318928
2022-01-21,35422.0,41127.79,40671.77,36456.94,50742.89616126
2022-01-22,34017.56,36835.93,36456.67,35066.43,30044.12486365
2022-01-23,34625.0,36555.55,35075.7,36282.47,17440.22740453
2022-01-24,32933.33,37574.63,36275.28,36693.32,38776.29020908
2022-01-25,35716.15,37579.81,36687.58,36980.0,21597.52201359
2022-01-26,36254.97,38960.0,36980.0,36840.63,27403.99125336
2022-01-27,35526.36,37249.0,36846.22,37188.37,23601.4620954
2022-01-28,36162.48,38023.74,37188.37,37741.9,22716.16494796
2022-01-29,37300.0,38748.43,37741.9,38191.1,13103.19076443
2022-01-30,37365.31,38384.07,38189.82,37901.35,10632.53591257
2022-01-31,36640.94,38785.04,37904.99,38491.93,19654.98487168
2022-02-01,38021.53,39300.0,38492.53,38716.88,16379.93141492
2022-02-02,36584.29,38888.88,38714.27,36923.39,13787.58718711
2022-02-03,36259.01,37450.75,36923.39,37329.91,13283.28624677
2022-02-04,37051.36,41788.81,37324.61,41614.64,22537.5582634
2022-02-05,40955.4,41970.0,41613.75,41404.85,11187.20118795
2022-02-06,41135.39,42719.93,41411.59,42415.16,6447.88488893
2022-02-07,41678.79,44533.0,42416.06,43868.07,20040.49860442
2022-02-08,42688.0,45519.24,43868.08,44085.59,20387.64565183
2022-02-09,43155.5,44865.46,44087.58,44416.35,12785.8117079
2022-02-10,43210.0,45855.0,44416.39,43527.71,20024.52326862
2022-02-11,42000.0,43962.13,43521.88,42386.47,19367.4151999
2022-02-12,41750.0,43050.0,42386.47,42244.97,8664.419567
2022-02-13,41885.61,42781.96,42244.91,42074.99,6208.94093653
2022-02-14,41570.0,42876.15,42073.37,42548.71,14805.98338836
2022-02-15,42433.28,44775.96,42548.71,44583.52,14154.73452625
2022-02-16,43330.59,44585.69,44580.73,43895.56,9663.44040395
2022-02-17,40099.99,44195.62,43895.55,40536.73,18630.10842181
2022-02-18,39425.07,40990.9,40537.94,39983.56,16491.0130588
2022-02-19,39655.0,40469.82,39993.64,40101.94,6277.30201343
2022-02-20,38000.0,40146.07,40101.93,38389.03,10972.32175685
2022-02-21,36811.0,39506.91,38395.99,37023.0,20970.76378699
2022-02-22,36350.0,38469.06,37022.11,38251.48,22767.08772002
2022-02-23,37055.0,39276.85,38251.67,37268.19,15510.11329997
2022-02-24,34322.0,39720.0,37268.18,38347.3,42124.51876077
2022-02-25,38016.44,39716.0,38347.3,39238.48,20761.66924479
2022-02-26,38592.04,40300.5,39242.71,39137.8,8601.67109728
2022-02-27,37020.0,39875.71,39146.97,37717.08,14440.23638182
2022-02-28,37455.71,44240.77,37716.57,43192.66,25699.68423401
2022-03-01,42850.0,44993.12,43189.61,44439.95,22596.96095342
2022-03-02,43342.16,45426.45,44440.0,43912.34,17466.98591437
2022-03-03,41811.0,44096.45,43916.47,42464.41,19278.28224695
2022-03-04,38577.01,42524.87,42464.41,39166.51,24080.60599433
2022-03-05,38587.27,39600.0,39166.5,39402.43,8440.51638896
2022-03-06,38091.02,39730.5,39407.87,38408.38,10099.98545246
2022-03-07,37161.88,39556.58,38406.82,37994.0,19544.28414901
2022-03-08,37851.54,39376.65,37991.05,38749.38,19132.76914326
2022-03-09,38655.98,42597.84,38749.16,41953.97,24651.67344036
2022-03-10,38560.85,42053.84,41949.28,39433.71,20814.01456026
2022-03-11,38234.08,40251.51,39431.4,38732.04,15908.57521389
2022-03-12,38654.02,39472.17,38732.33,38813.02,5644.14686801
2022-03-13,37580.86,39318.19,38815.56,37793.01,8046.37612453
2022-03-14,37560.4,39906.39,37793.4,39674.17,13566.81093809
2022-03-15,38135.0,39900.0,39678.51,39298.1,14924.67641882
2022-03-16,38850.0,41717.67,39298.11,41127.97,22805.48259593
2022-03-17,40521.0,41486.0,41127.96,40950.33,15717.77421989
2022-03-18,40130.0,42396.04,40950.23,41774.98,17181.15226772
2022-03-19,41534.89,42429.0,41781.37,42232.26,8630.97283924
2022-03-20,40918.72,42330.1,42232.05,41287.24,7621.03036678
2022-03-21,40509.0,41578.33,41287.24,41017.71,10996.47661055
2022-03-22,40885.19,43389.79,41017.7,42378.26,19913.28660924
2022-03-23,41766.79,43036.95,42376.03,42899.71,13745.27563632
2022-03-24,42627.48,44241.0,42899.71,44012.29,21827.93263859
2022-03-25,43605.8,45130.91,44012.36,44331.85,19128.13735444
2022-03-26,44091.09,44820.58,44336.19,44539.42,7305.17827992
2022-03-27,44437.22,46950.0,44538.21,46850.01,10356.10317002
2022-03-28,46662.28,48240.0,46850.01,47144.92,18787.66318707
2022-03-29,46589.0,48124.94,47146.92,47454.19,15776.65108647
2022-03-30,46544.89,47717.01,47448.41,47078.03,12672.44584707
2022-03-31,45211.0,47624.09,47078.02,45528.45,17454.79144251
