date,open,high,low,close,volume
2021-12-23,0.5298,0.6166,0.5369,0.5951,125224070.6
2021-12-24,0.5916,0.69,0.5951,0.628,203014400.2
2021-12-25,0.6225,0.6639,0.6277,0.6434,98559296.5
2021-12-26,0.602,0.6473,0.6434,0.6233,97746241.2
2021-12-27,0.6167,0.652,0.6231,0.6234,69464751.2
2021-12-28,0.551,0.6234,0.6234,0.5654,101228092.6
2021-12-29,0.5402,0.582,0.5656,0.5465,61738433.0
2021-12-30,0.5387,0.5683,0.5462,0.5533,53170880.8
2021-12-31,0.5461,0.5857,0.5531,0.5561,59635760.1
2022-01-01,0.5561,0.5864,0.5563,0.5853,42311959.6
2022-01-02,0.5723,0.59,0.5854,0.5872,42072482.6
2022-01-03,0.5569,0.5875,0.5871,0.5668,51543357.8
2022-01-04,0.5462,0.5756,0.5671,0.5512,50250974.4
2022-01-05,0.481,0.5597,0.5512,0.502,98425381.8
2022-01-06,0.4842,0.5156,0.5025,0.5032,80348515.7
2022-01-07,0.4611,0.5046,0.503,0.4636,88273880.7
2022-01-08,0.4404,0.4837,0.4638,0.4533,72732362.6
2022-01-09,0.4478,0.4781,0.4534,0.4615,50018192.0
2022-01-10,0.4289,0.4718,0.4615,0.4445,58843786.7
2022-01-11,0.4389,0.466,0.4444,0.4587,44680687.0
2022-01-12,0.4579,0.4954,0.4585,0.4866,57534455.8
2022-01-13,0.4547,0.4937,0.4867,0.4564,45676539.9
2022-01-14,0.4455,0.4695,0.4563,0.4573,40671600.4
2022-01-15,0.4549,0.4745,0.4572,0.4672,29088621.9
2022-01-16,0.4601,0.4728,0.4671,0.464,24992679.2
2022-01-17,0.4363,0.4646,0.4642,0.4442,39147182.5
2022-01-18,0.4332,0.4527,0.4441,0.4442,40976165.0
2022-01-19,0.4302,0.4488,0.4447,0.4318,34379022.0
2022-01-20,0.4266,0.4749,0.4319,0.4349,52763267.8
2022-01-21,0.3525,0.4392,0.4347,0.3636,109742322.1
