date,open,high,low,close,volume
2021-12-23,26.75,29.86,27.24,29.17,2791321.031
2021-12-24,27.86,29.69,29.17,28.17,1593007.316
2021-12-25,27.98,29.21,28.18,28.86,1017359.685
2021-12-26,28.29,31.81,28.88,31.34,2495296.119
2021-12-27,30.82,32.83,31.34,30.97,1983084.378
2021-12-28,27.46,30.99,30.99,27.84,3530468.248
2021-12-29,26.5,28.96,27.85,26.81,2485644.998
2021-12-30,26.18,28.42,26.81,27.53,2426312.674
2021-12-31,26.21,28.14,27.55,26.67,2652575.292
2022-01-01,26.66,28.65,26.66,28.61,1604343.378
2022-01-02,27.83,30.63,28.62,29.7,2003380.445
2022-01-03,28.63,30.9,29.71,30.09,3322402.674
2022-01-04,28.67,30.6,30.1,28.69,2480775.938
2022-01-05,25.06,30.45,28.69,26.71,3065293.209
2022-01-06,25.48,27.42,26.71,26.71,2944998.821
2022-01-07,24.23,26.84,26.71,24.88,3495708.36
2022-01-08,23.13,25.53,24.89,24.0,2916917.377
2022-01-09,23.68,25.33,24.0,24.63,2095947.873
2022-01-10,22.42,25.23,24.63,23.72,2424300.012
2022-01-11,23.5,26.02,23.72,25.55,1840782.479
2022-01-12,25.46,27.62,25.57,27.35,1795875.941
2022-01-13,25.71,27.69,27.33,25.82,1219806.641
2022-01-14,25.55,27.91,25.8,27.77,1635402.678
2022-01-15,26.84,28.45,27.75,27.64,897079.682
2022-01-16,27.27,28.47,27.62,27.71,899826.714
2022-01-17,25.1,27.76,27.69,25.68,1676067.207
2022-01-18,24.26,26.15,25.7,25.15,1505036.898
2022-01-19,23.7,25.32,25.15,24.06,1310716.292
2022-01-20,22.85,25.61,24.07,23.0,1436273.885
2022-01-21,19.06,23.48,22.99,19.67,3957612.352
2022-01-22,16.22,20.18,19.66,18.26,4994948.829
2022-01-23,17.72,19.21,18.26,18.82,2732726.312
2022-01-24,15.83,18.83,18.82,18.03,4108465.128
2022-01-25,17.37,19.06,18.04,18.32,2398370.714
2022-01-26,17.54,20.05,18.32,18.09,3291248.545
2022-01-27,17.15,18.41,18.09,18.13,1887235.749
2022-01-28,17.36,18.5,18.12,18.34,1650696.285
2022-01-29,18.08,19.06,18.34,18.75,1241137.616
2022-01-30,17.81,19.02,18.74,18.16,1193153.193
2022-01-31,17.13,19.96,18.15,19.39,2716580.212
2022-02-01,19.16,20.01,19.4,19.58,2431019.645
2022-02-02,18.54,20.6,19.59,18.76,2171038.611
2022-02-03,17.97,18.97,18.78,18.93,1550301.534
2022-02-04,18.72,20.54,18.91,20.51,1732153.176
2022-02-05,20.32,22.31,20.51,21.35,1722594.167
2022-02-06,20.81,21.95,21.34,21.91,1003685.386
2022-02-07,21.42,22.72,21.93,22.37,1815787.396
2022-02-08,21.09,23.2,22.38,21.68,1705236.489
2022-02-09,21.06,22.27,21.69,21.97,1197840.103
2022-02-10,20.51,22.48,21.96,20.51,1572951.398
2022-02-11,18.58,20.75,20.51,18.99,1714048.819
2022-02-12,18.27,19.44,18.99,18.82,1332706.068
2022-02-13,18.39,19.29,18.84,18.75,1088392.176
2022-02-14,18.03,18.95,18.75,18.7,1061028.343
2022-02-15,18.64,20.35,18.71,20.19,990630.926
2022-02-16,19.08,20.21,20.2,19.78,1034180.126
2022-02-17,17.79,20.03,19.78,18.16,1369704.414
2022-02-18,17.61,18.61,18.17,17.83,1225964.485
2022-02-19,17.34,18.23,17.83,17.86,916207.556
2022-02-20,16.68,17.88,17.86,16.92,1548351.069
2022-02-21,16.03,17.75,16.92,16.19,1831585.691
2022-02-22,15.8,16.73,16.18,16.61,1562824.419
2022-02-23,15.92,17.52,16.61,15.97,1657854.217
2022-02-24,14.06,16.76,15.97,16.17,3895684.449
2022-02-25,15.8,17.54,16.18,17.28,1469108.58
2022-02-26,17.19,18.77,17.28,18.04,1908473.107
2022-02-27,17.03,18.73,18.05,17.5,1687655.578
2022-02-28,16.65,19.12,17.5,18.95,2301877.57
