date,open,high,low,close,volume
2021-12-23,153.04,165.3,155.4,163.74,244250.61779342
2021-12-24,160.3,166.82,163.8,161.35,185566.64755025
2021-12-25,157.67,163.72,161.36,158.0,191428.40687092
2021-12-26,153.21,158.51,157.99,155.96,235000.30541184
2021-12-27,154.67,161.28,155.97,155.78,182308.28591587
2021-12-28,144.58,155.96,155.96,145.67,365835.43656449
2021-12-29,144.1,150.96,145.71,145.62,245272.53399565
2021-12-30,142.85,149.96,145.56,147.94,169463.433936
2021-12-31,143.63,152.71,147.97,146.15,187204.67530322
2022-01-01,146.12,151.04,146.23,150.83,155011.74124172
2022-01-02,147.89,153.34,150.79,151.2,106740.14889105
2022-01-03,146.03,151.19,151.18,148.43,146106.39089201
2022-01-04,145.23,151.59,148.44,146.44,170607.86207027
2022-01-05,130.0,149.93,146.45,135.32,328403.7648693
2022-01-06,132.41,138.09,135.35,135.9,313202.24101972
2022-01-07,125.9,136.53,135.94,131.34,370636.73334452
2022-01-08,125.0,134.76,131.33,129.51,246368.33010928
2022-01-09,127.76,132.58,129.45,130.91,189571.82514676
2022-01-10,120.78,131.55,130.87,126.52,292054.2104573
2022-01-11,125.77,133.54,126.51,131.67,207354.19370816
2022-01-12,130.92,142.35,131.67,142.02,204445.58344654
2022-01-13,134.63,142.37,141.99,136.82,200903.9070007
2022-01-14,135.96,146.54,136.8,144.84,289207.21213514
2022-01-15,144.07,150.72,144.84,147.73,200500.18659435
2022-01-16,143.33,149.04,147.75,146.49,140846.57775994
2022-01-17,144.19,153.91,146.46,151.19,385413.3131516
2022-01-18,138.63,153.45,151.2,141.53,316520.11577683
2022-01-19,133.18,143.07,141.53,136.2,262870.40462573
2022-01-20,128.86,142.88,136.35,129.8,237051.90406683
2022-01-21,110.0,131.1,129.73,114.51,633352.63953891
2022-01-22,96.51,117.01,114.51,108.41,874503.63315709
2022-01-23,105.61,112.76,108.49,112.35,473869.96273106
2022-01-24,97.51,112.32,112.28,109.65,741516.82001623
2022-01-25,105.21,110.01,109.6,107.9,371666.09907819
2022-01-26,104.75,116.67,107.86,107.0,442820.00249194
2022-01-27,102.9,110.0,107.09,106.92,333055.19168513
2022-01-28,105.31,110.07,106.88,109.49,277224.59642641
2022-01-29,107.65,112.33,109.49,110.84,200310.16536839
2022-01-30,107.07,112.32,110.85,108.59,170230.74671713
2022-01-31,104.4,111.35,108.61,109.54,260661.12319526
2022-02-01,108.27,116.9,109.5,115.11,257072.41281599
2022-02-02,107.23,116.07,115.18,108.36,219744.10546933
2022-02-03,105.39,111.1,108.33,111.02,228153.68046523
2022-02-04,108.8,121.5,111.03,121.42,280454.13017712
2022-02-05,118.93,123.95,121.47,121.8,239148.7688494
2022-02-06,120.66,128.11,121.81,127.68,219258.13984267
2022-02-07,125.07,139.97,127.69,137.43,319063.61043997
2022-02-08,130.57,143.04,137.47,133.82,393502.67272601
2022-02-09,132.14,141.08,133.81,140.21,291783.43188295
2022-02-10,134.09,143.88,140.13,134.59,316414.77332234
2022-02-11,125.0,134.88,134.6,125.69,318617.84186862
2022-02-12,120.92,127.72,125.66,126.78,231949.86336103
