date,open,high,low,close,volume
2021-12-23,15.91,18.26,16.23,18.18,1396595.918618
2021-12-24,17.24,18.3,18.19,17.5,851278.978329
2021-12-25,17.09,17.84,17.49,17.49,361827.566936
2021-12-26,16.72,18.8,17.48,18.67,691032.828075
2021-12-27,18.55,20.1,18.67,19.11,1363520.92326
2021-12-28,17.76,19.92,19.12,18.4,1720150.882205
2021-12-29,16.87,19.49,18.39,17.13,1364157.499325
2021-12-30,16.71,17.91,17.12,17.78,687940.682537
2021-12-31,16.77,18.92,17.77,16.98,1684074.456223
2022-01-01,16.88,17.56,17.01,17.47,379103.914223
2022-01-02,17.05,18.52,17.47,18.41,556638.835202
2022-01-03,17.85,19.19,18.41,18.47,1054292.384308
2022-01-04,17.7,19.15,18.46,18.21,980763.775905
2022-01-05,16.3,19.87,18.2,17.11,1622901.954623
2022-01-06,16.08,17.26,17.11,17.06,1020748.881483
2022-01-07,15.21,17.16,17.06,15.75,860210.501009
2022-01-08,14.53,16.2,15.75,14.92,507307.620483
2022-01-09,14.82,16.31,14.92,15.8,442961.943265
2022-01-10,14.64,16.48,15.8,15.11,1049461.735333
2022-01-11,14.99,16.33,15.14,15.98,520892.653768
2022-01-12,15.97,16.62,15.97,16.3,399601.31978
2022-01-13,15.4,16.6,16.27,15.46,458175.999943
2022-01-14,15.15,15.96,15.47,15.86,329819.860443
2022-01-15,15.71,16.73,15.87,16.48,277453.739404
2022-01-16,16.3,18.2,16.48,17.86,862654.596429
2022-01-17,16.24,17.96,17.87,16.64,512590.574552
2022-01-18,15.63,17.71,16.65,15.99,779828.45766
2022-01-19,15.1,16.23,16.01,15.12,610905.923865
2022-01-20,14.38,16.18,15.12,14.49,491373.228416
2022-01-21,12.32,14.68,14.44,12.63,1210890.213053
2022-01-22,10.37,13.01,12.64,11.16,1500620.312726
2022-01-23,10.83,11.92,11.14,11.42,1097845.02121
2022-01-24,9.53,11.43,11.43,10.7,1820197.37894
2022-01-25,10.32,10.95,10.7,10.59,910875.112309
2022-01-26,10.36,11.78,10.59,10.58,1421131.971012
2022-01-27,9.89,10.92,10.59,10.32,1700112.646492
2022-01-28,9.86,10.74,10.31,10.68,1235932.462373
2022-01-29,10.58,11.24,10.66,11.16,1007328.409101
2022-01-30,10.64,11.45,11.16,10.82,1099991.987154
2022-01-31,10.3,11.89,10.82,11.77,1576769.330892
2022-02-01,11.01,11.88,11.77,11.11,1911408.151439
2022-02-02,10.39,11.37,11.12,10.53,1053551.872075
2022-02-03,9.97,10.59,10.52,10.39,1303476.986224
2022-02-04,10.33,11.21,10.41,11.18,1735829.060214
2022-02-05,11.12,12.02,11.18,11.26,1369668.223769
2022-02-06,11.02,11.73,11.28,11.7,985907.393353
2022-02-07,11.39,12.61,11.69,12.38,2487197.894326
2022-02-08,11.52,12.94,12.39,11.95,1505661.678665
2022-02-09,11.61,12.66,11.96,12.33,875105.293047
2022-02-10,11.36,12.36,12.34,11.41,950889.668324
2022-02-11,10.39,11.67,11.4,10.65,824848.501141
2022-02-12,10.41,10.98,10.64,10.63,696023.873253
2022-02-13,10.26,10.86,10.63,10.37,582728.310499
2022-02-14,10.11,10.72,10.37,10.63,549211.883642
2022-02-15,10.62,11.54,10.64,11.48,790997.297151
2022-02-16,10.78,11.55,11.49,11.22,824433.70703
2022-02-17,10.23,11.39,11.24,10.41,617987.533582
2022-02-18,10.05,10.7,10.41,10.15,602124.455966
2022-02-19,9.77,10.43,10.17,10.03,406192.619903
2022-02-20,9.19,10.06,10.03,9.36,655649.603694
2022-02-21,8.5,9.76,9.36,8.52,970777.847777
2022-02-22,8.14,8.98,8.52,8.86,1219727.244938
2022-02-23,8.72,9.46,8.87,8.75,712089.090768
2022-02-24,7.51,9.04,8.75,8.82,1879116.090351
2022-02-25,8.46,9.44,8.81,9.25,1086484.828331
2022-02-26,8.95,9.56,9.25,9.06,692806.043328
2022-02-27,8.65,10.16,9.07,9.77,1946838.712079
2022-02-28,9.36,10.55,9.77,10.53,2383956.837375
2022-03-01,10.03,10.83,10.54,10.37,1069512.860465
2022-03-02,9.96,10.6,10.35,10.05,790290.019242
2022-03-03,9.41,10.12,10.02,9.55,586519.566608
2022-03-04,8.67,9.57,9.55,8.8,1010164.902701
2022-03-05,8.67,9.15,8.81,9.0,306833.542737
2022-03-06,8.44,9.08,9.0,8.48,388697.761087
2022-03-07,8.11,8.79,8.47,8.3,469913.213137
2022-03-08,8.25,8.88,8.3,8.81,453233.316129
2022-03-09,8.76,9.47,8.81,9.22,631752.092396
2022-03-10,8.51,9.3,9.22,8.68,510532.710025
2022-03-11,8.37,9.06,8.67,8.51,589707.547421
2022-03-12,8.45,8.87,8.5,8.46,329742.579828
2022-03-13,8.13,8.75,8.46,8.2,502466.966996
2022-03-14,8.11,8.59,8.21,8.48,451667.322406
2022-03-15,8.14,8.8,8.48,8.72,415044.734462
2022-03-16,8.53,9.23,8.73,9.1,760740.34274
2022-03-17,9.02,9.41,9.1,9.23,643784.636221
2022-03-18,9.0,9.77,9.23,9.62,691330.246972
2022-03-19,9.55,9.96,9.63,9.74,870436.915402
2022-03-20,9.14,9.8,9.73,9.33,620027.175633
2022-03-21,9.18,9.62,9.33,9.35,646632.203528
2022-03-22,9.27,10.16,9.35,9.76,1098920.552206
2022-03-23,9.64,10.25,9.75,10.01,1121114.856095
2022-03-24,9.97,10.8,10.01,10.79,1379619.538357
