Date,Emma,Simba,Ragnar,Luna,Rolo,Big Black,Jucumari,Tiny,Black1,Black2
2019-03-12,28000,0,0,0,0,0,0,0,0,0
2019-03-14,28000,364,439,310,0,414,343,272,378,377
2019-03-16,28000,477,545,383,0,519,410,350,499,496
2019-03-18,28000,590,658,473,0,609,518,405,607,606
2019-03-19,28000,666,718,504,0,668,562,460,704,698
2019-03-20,28000,714,754,560,0,704,615,500,746,720
2019-03-21,28000,775,825,637,0,784,663,543,812,794
2019-03-22,28000,834,920,703,0,844,748,594,935,874
2019-03-23,28000,912,964,725,0,926,794,640,992,926
2019-03-24,28000,981,1056,779,0,1027,894,668,1119,948
2019-03-25,28000,1111,1101,838,0,1121,911,745,1198,1073
2019-03-26,28000,1175,1171,882,0,1194,985,790,1257,1168
2019-03-27,28000,1260,1240,955,0,1257,1080,860,1344,1256
2019-03-28,28000,1316,1330,1043,0,1344,1174,876,1400,1340
2019-03-29,28000,1371,1368,1090,0,1413,1250,972,1512,1400
2019-03-30,28000,1468,1462,1180,0,1507,1298,1033,1580,1469
2019-03-31,28000,1560,1510,1226,0,1600,1335,1095,1680,1566
2019-04-01,28000,1663,1562,1278,0,1680,1401,1132,1749,1591
2019-04-02,28000,1723,1651,1360,0,1745,1490,1144,1818,1667
2019-04-03,28000,1844,1696,1502,0,1817,1542,1239,1895,1708
2019-04-04,28000,1932,1783,1570,0,1930,1589,1317,1985,1810
2019-04-05,28000,1993,1806,1620,0,2012,1683,1350,1988,1920
2019-04-06,28000,2139,1906,1735,0,2070,1751,1450,2054,1945
2019-04-07,28000,2270,2004,1756,0,2079,1810,1531,2084,2004
2019-04-08,28000,2319,2040,1880,0,2230,2027,1583,2195,2001
2019-04-09,28000,2388,2060,1897,0,2237,1953,1547,2180,2020
2019-04-10,28000,2640,2235,2120,0,2400,2194,1697,2414,2136
2019-04-11,28000,2710,2347,2320,0,2496,2320,1797,2580,2240
2019-04-12,28000,2850,2460,2394,0,2640,2400,1900,2680,2309
