date,open,high,low,close,volume
2021-12-23,19.55,22.23,19.92,22.19,3777741.27
2021-12-24,21.22,22.67,22.18,21.47,2314644.23
2021-12-25,21.3,22.4,21.49,22.12,1552489.04
2021-12-26,21.12,23.58,22.13,22.99,3110962.02
2021-12-27,22.76,24.5,22.99,23.02,2657118.22
2021-12-28,20.32,23.03,23.03,20.36,4360686.65
2021-12-29,19.53,20.98,20.38,19.74,3505105.25
2021-12-30,19.16,20.49,19.74,19.94,2929218.85
2021-12-31,19.04,20.63,19.93,19.51,2628843.82
2022-01-01,19.49,20.8,19.53,20.75,2086629.52
2022-01-02,20.57,22.22,20.75,21.88,2326435.14
2022-01-03,21.26,23.82,21.88,23.72,3676303.71
2022-01-04,22.78,24.48,23.71,23.43,3468466.07
2022-01-05,22.34,27.5,23.43,25.22,9725212.84
2022-01-06,23.31,25.99,25.23,25.39,6443317.27
2022-01-07,22.65,27.33,25.4,25.97,8034336.23
2022-01-08,23.56,27.36,25.98,25.31,5649061.36
2022-01-09,25.09,28.71145,25.33,27.54,6947266.4
2022-01-10,25.09,28.52,27.55,27.98,7146693.31
2022-01-11,25.85,28.7,27.98,26.6,5119948.95
2022-01-12,25.62,27.27,26.6,26.76,3688692.5
2022-01-13,24.42,26.77,26.75,24.88,3748891.13
2022-01-14,23.91,25.9,24.87,25.74,2981159.58
2022-01-15,25.13,26.23,25.74,25.19,1804584.21
2022-01-16,24.68,26.36,25.18,25.51,1453583.26
2022-01-17,23.27,25.63,25.5,23.8,2187773.78
2022-01-18,22.04,24.34,23.8,22.98,3221765.07
2022-01-19,21.23,23.15,22.97,21.56,2903396.2
2022-01-20,20.03,22.99,21.55,20.18,3628543.84
2022-01-21,17.12,20.51,20.16,17.44,8626310.09
2022-01-22,14.28,17.83,17.42,15.86,8577253.52
2022-01-23,15.15,16.88,15.87,16.67,4251482.53
2022-01-24,13.48,16.67,16.66,15.61,7242677.13
2022-01-25,14.59,16.04,15.61,15.49,4492333.11
2022-01-26,14.69,16.82,15.51,15.24,5927770.27
2022-01-27,14.31,15.71,15.25,15.23,5344486.38
2022-01-28,14.75,16.29,15.23,16.16,4790742.65
2022-01-29,15.97,16.75,16.15,16.24,2541936.38
2022-01-30,16.02,18.13,16.24,17.77,5208012.03
2022-01-31,16.41,17.89,17.76,17.16,5565683.91
2022-02-01,16.84,17.9,17.17,17.0,4533943.28
2022-02-02,15.57,17.38,17.0,15.79,3393191.03
2022-02-03,15.26,16.32,15.8,16.31,4074152.66
2022-02-04,16.03,17.55,16.31,17.51,3462797.96
2022-02-05,17.43,18.33,17.53,17.77,3409455.61
2022-02-06,17.19,18.18,17.78,18.08,2300752.16
2022-02-07,17.67,19.58,18.08,18.88,4597817.68
2022-02-08,17.74,19.56,18.9,18.4,4326377.02
2022-02-09,17.76,18.77,18.4,18.7,2268691.02
2022-02-10,17.36,18.77,18.7,17.51,4780443.27
2022-02-11,15.91,17.83,17.51,16.22,4252227.21
2022-02-12,15.57,16.39,16.21,15.97,2980310.15
2022-02-13,15.53,16.34,15.96,15.6,1974359.07
2022-02-14,15.21,16.13,15.61,15.9,3210784.98
2022-02-15,15.82,17.47,15.91,17.35,2911584.48
2022-02-16,16.52,17.43,17.36,17.14,2638175.33
2022-02-17,15.47,17.46,17.14,15.6,3754731.09
2022-02-18,15.04,16.06,15.61,15.2,3289460.52
2022-02-19,14.85,15.69,15.19,15.52,2539336.92
2022-02-20,14.42,15.54,15.53,14.62,3441089.46
2022-02-21,13.39,15.31,14.61,13.51,4616902.69
2022-02-22,13.04,14.2,13.51,13.98,4916054.42
2022-02-23,13.3,14.68,13.99,13.34,3650964.06
2022-02-24,11.42,13.97,13.35,13.27,10606117.81
2022-02-25,13.08,14.5,13.28,14.39,3475679.55
2022-02-26,14.1,15.05,14.37,14.72,2257139.53
2022-02-27,13.47,14.86,14.73,13.65,3034310.57
2022-02-28,13.32,15.16,13.65,15.14,3521407.78
